Date,max_temp
1981-01-01,32.7
1981-01-02,31.9
1981-01-03,29.8
1981-01-04,27.6
1981-01-05,24.8
1981-01-06,32.7
1981-01-07,31.9
1981-01-08,29.8
1981-01-09,27.6
1981-01-10,24.8
1981-01-11,32.7
1981-01-12,31.9
1981-01-13,29.8
1981-01-14,27.6
1981-01-15,24.8
1981-01-16,32.7
1981-01-17,31.9
1981-01-18,29.8
1981-01-19,27.6
1981-01-20,24.8
1981-01-21,32.7
1981-01-22,31.9
1981-01-23,29.8
1981-01-24,27.6
1981-01-25,24.8
1981-01-26,32.7
1981-01-27,31.9
1981-01-28,29.8
1981-01-29,27.6
1981-01-30,24.8
1981-01-31,32.7
1981-02-01,31.9
1981-02-02,29.8
1981-02-03,27.6
1981-02-04,24.8
1981-02-05,32.7
1981-02-06,31.9
1981-02-07,29.8
1981-02-08,27.6
1981-02-09,24.8
1981-02-10,32.7
1981-02-11,31.9
1981-02-12,29.8
1981-02-13,27.6
1981-02-14,24.8
1981-02-15,32.7
1981-02-16,31.9
1981-02-17,29.8
1981-02-18,27.6
1981-02-19,24.8
1981-02-20,32.7
1981-02-21,31.9
1981-02-22,29.8
1981-02-23,27.6
1981-02-24,24.8
1981-02-25,32.7
1981-02-26,31.9
1981-02-27,29.8
1981-02-28,27.6
1981-03-01,24.8
1981-03-02,32.7
1981-03-03,31.9
1981-03-04,29.8
1981-03-05,27.6
1981-03-06,24.8
1981-03-07,32.7
1981-03-08,31.9
1981-03-09,29.8
1981-03-10,27.6
1981-03-11,24.8
1981-03-12,32.7
1981-03-13,31.9
1981-03-14,29.8
1981-03-15,27.6
1981-03-16,24.8
1981-03-17,32.7
1981-03-18,31.9
1981-03-19,29.8
1981-03-20,27.6
1981-03-21,24.8
1981-03-22,32.7
1981-03-23,31.9
1981-03-24,29.8
1981-03-25,27.6
1981-03-26,24.8
1981-03-27,32.7
1981-03-28,31.9
1981-03-29,29.8
1981-03-30,27.6
1981-03-31,24.8
1981-04-01,32.7
1981-04-02,31.9
1981-04-03,29.8
1981-04-04,27.6
1981-04-05,24.8
1981-04-06,32.7
1981-04-07,31.9
1981-04-08,29.8
1981-04-09,27.6
1981-04-10,24.8
1981-04-11,32.7
1981-04-12,31.9
1981-04-13,29.8
1981-04-14,27.6
1981-04-15,24.8
1981-04-16,32.7
1981-04-17,31.9
1981-04-18,29.8
1981-04-19,27.6
1981-04-20,24.8
1981-04-21,32.7
1981-04-22,31.9
1981-04-23,29.8
1981-04-24,27.6
1981-04-25,24.8
1981-04-26,32.7
1981-04-27,31.9
1981-04-28,29.8
1981-04-29,27.6
